author,total,pre (<=2022),post (>=2024),other_year,min_pre_post,wc_min,wc_max,wc_mean
joe-carlsmith,40,20,20,0,20,2206,21272,10428
neel-nanda-1,38,19,19,0,19,1620,17990,5255
steve2152,36,19,17,0,17,1506,10005,4241
zvi,36,17,19,0,17,1802,17720,5977
turntrout,36,20,16,0,16,1588,15858,4303
benquo,33,16,17,0,16,1535,9325,2984
kaj_sotala,32,14,18,0,14,1526,20636,4819
raemon,31,17,14,0,14,1516,8944,2945
habryka4,27,13,14,0,13,1583,20783,4379
zack_m_davis,28,12,16,0,12,1543,12571,3815
abramdemski,26,15,11,0,11,1513,16676,4078
johnswentworth,22,11,11,0,11,1610,4900,2340


but why would you need a demo file???? that's just a demo. Our solution needs to be self-contained. This is just a problem we are solving. I think the project needs some refactoring.

1. In the dataset inside each source (now we only hve only source, which is lesswrong), we need to have a folder raw to contain the raw, uncleaned data. Then we have a folder cleaned for clearned data, so we don't have to do _cleaned for every file.

2. we may need a src folder. to give you context, we will solve many different problems. The first class is K-means, in which we solve a few problems, effects of K (the one we're solving), effects of number of articles per author, effects of article length, etc.

The second class is a logistic model to predict if two input articles share the same authors

The third class is SVM. The fourth class is neural network.
