author,total,pre (<=2022),post (>=2024),other_year,min_pre_post,wc_min,wc_max,wc_mean
kaj_sotala,48,19,22,7,19,1526,20636,4704
jessica-liu-taylor,47,19,22,6,19,1560,14379,3894
benquo,46,29,17,0,17,1535,9325,2866
ruby,42,17,20,5,17,1575,11522,3149
sarahconstantin,49,15,34,0,15,1639,4229,2562
adamshimi,48,33,15,0,15,1564,11038,3498
abramdemski,45,15,24,6,15,1579,16676,3773
zack_m_davis,41,14,17,10,14,1663,26317,5322
elizabeth-1,38,13,14,11,13,1513,10860,3269
gordon-seidoh-worley,46,30,12,4,12,1653,10039,3166
petermccluskey,40,20,12,8,12,1586,5633,2320
benito,34,18,12,4,12,1535,24260,3917
david-gross,50,38,11,1,11,1586,20283,4975
eliezer_yudkowsky,46,35,9,2,9,1636,23974,7086
jasoncrawford,44,11,8,25,8,1573,7837,2923
turntrout,33,24,8,1,8,1553,15858,3526
marius-hobbhahn,25,12,7,6,7,1791,12679,4102
philh,29,18,6,5,6,1600,12269,3592
jan_kulveit,27,6,14,7,6,1545,8747,2730
nunosempere,27,21,6,0,6,1674,5051,2526
ricraz,47,5,21,21,5,1535,7937,2907
jacob-falkovich,39,31,5,3,5,1562,5191,2881
jkaufman,20,13,4,3,4,1561,3540,2180
buck,42,3,32,7,3,1584,18513,4203
scottalexander,49,44,2,3,2,1526,15024,5007
tsvibt,47,2,19,26,2,1517,45876,5274
habryka4,26,2,19,5,2,1583,20783,4485
katjagrace,47,45,1,1,1,1534,16604,2835
so8res,40,30,1,9,1,1533,9163,2763
holdenkarnofsky,38,26,1,11,1,1601,13193,4738
screwtape,49,0,41,8,0,1588,11374,2588
steve2152,48,0,48,0,0,1726,13895,5567
zvi,48,0,48,0,0,1521,34919,8990
johnswentworth,46,0,42,4,0,1578,9821,3032
ryan_greenblatt,44,0,44,0,0,1553,25353,5117
raemon,43,0,37,6,0,1610,13273,3379
joe-carlsmith,42,0,34,8,0,2302,21546,9761
lukeprog,38,38,0,0,0,1541,8345,2950
neel-nanda-1,14,0,14,0,0,2161,11221,4368
dan-h,11,0,1,10,0,1621,6711,3926
