author,total,pre (<=2022),post (>=2024),>= 1526 words,< 1526 words
david-gross,50,38,11,50,0
screwtape,49,0,41,49,0
scottalexander,49,44,2,49,0
sarahconstantin,49,15,34,49,0
steve2152,48,0,48,48,0
adamshimi,48,33,15,48,0
kaj_sotala,48,19,22,48,0
ricraz,47,5,21,47,0
zvi,47,0,47,47,0
jessica-liu-taylor,47,19,22,47,0
katjagrace,47,45,1,47,0
tsvibt,47,2,19,46,1
benquo,46,29,17,46,0
eliezer_yudkowsky,46,35,9,46,0
johnswentworth,46,0,42,46,0
gordon-seidoh-worley,46,30,12,46,0
abramdemski,45,15,24,45,0
ryan_greenblatt,44,0,44,44,0
jasoncrawford,44,11,8,44,0
raemon,43,0,37,43,0
buck,42,3,32,42,0
joe-carlsmith,42,0,34,42,0
ruby,42,17,20,42,0
zack_m_davis,41,14,17,41,0
so8res,40,30,1,40,0
petermccluskey,40,20,12,40,0
jacob-falkovich,39,31,5,39,0
holdenkarnofsky,38,26,1,38,0
lukeprog,38,38,0,38,0
elizabeth-1,36,12,14,36,0
benito,34,18,12,34,0
turntrout,33,24,8,33,0
philh,29,18,6,29,0
jan_kulveit,27,6,14,27,0
nunosempere,27,21,6,27,0
