author,total,pre (<=2022),post (>=2024),other_year,min_pre_post,wc_min,wc_max,wc_mean
steve2152,57,28,29,0,28,3036,18511,6692
zvi,62,27,35,0,27,3060,34919,7664
neel-nanda-1,49,25,24,0,24,3003,17990,5602
abramdemski,29,15,14,0,14,3039,16676,5389
kaj_sotala,35,22,13,0,13,3054,20636,6206
marius-hobbhahn,27,14,13,0,13,3000,12820,5037
raemon,27,11,16,0,11,3006,13273,4810
johnswentworth,22,11,11,0,11,3007,8059,4537
jessica-liu-taylor,21,9,12,0,9,3123,14379,5722
ricraz,20,9,11,0,9,3024,17176,5317
ruby,17,9,8,0,8,3092,11522,5542
