=== [1/2] cleaned_10: 10 authors, K=4, sample 4 authors + M docs ===

Loading cleaned_10 corpus …
  400 docs × 1500w  (10 authors)
Building stylometric feature matrix …
  feature cache hit -> src\kmeans\cache\cleaned_10\2b210234ff591af9.npz
  X shape: (400, 107)

ARI sweep: K=4, M in [5, 10, 15, 20], 50 trials per M
  group pool = C(10,4) = 210
    M= 5: 5 docs/author, total=20 docs/trial
    M=10: 10 docs/author, total=40 docs/trial
    M=15: 15 docs/author, total=60 docs/trial
    M=20: 20 docs/author, total=80 docs/trial
  KMeans: init='k-means++', n_init=10
  M= 5  trial   1/50  ARI=+0.317  n_docs= 20  authors=['jessica-liu-taylor', 'kaj_sotala', 'ruby', 'steve2152']
  M= 5  trial   2/50  ARI=+0.590  n_docs= 20  authors=['abramdemski', 'jessica-liu-taylor', 'ruby', 'zvi']
  M= 5  trial   3/50  ARI=+0.622  n_docs= 20  authors=['kaj_sotala', 'neel-nanda-1', 'raemon', 'ricraz']
  M= 5  trial   4/50  ARI=+0.266  n_docs= 20  authors=['johnswentworth', 'kaj_sotala', 'neel-nanda-1', 'steve2152']
  M= 5  trial   5/50  ARI=+0.382  n_docs= 20  authors=['jessica-liu-taylor', 'neel-nanda-1', 'ruby', 'steve2152']
  M= 5  trial   6/50  ARI=+0.454  n_docs= 20  authors=['johnswentworth', 'neel-nanda-1', 'ricraz', 'steve2152']
  M= 5  trial   7/50  ARI=+0.438  n_docs= 20  authors=['neel-nanda-1', 'ruby', 'steve2152', 'zvi']
  M= 5  trial   8/50  ARI=+0.400  n_docs= 20  authors=['ricraz', 'ruby', 'steve2152', 'zvi']
  M= 5  trial   9/50  ARI=+0.401  n_docs= 20  authors=['jessica-liu-taylor', 'kaj_sotala', 'raemon', 'ricraz']
  M= 5  trial  10/50  ARI=+0.207  n_docs= 20  authors=['abramdemski', 'jessica-liu-taylor', 'neel-nanda-1', 'zvi']
  M= 5  trial  11/50  ARI=+0.318  n_docs= 20  authors=['jessica-liu-taylor', 'johnswentworth', 'raemon', 'steve2152']
  M= 5  trial  12/50  ARI=+0.618  n_docs= 20  authors=['jessica-liu-taylor', 'kaj_sotala', 'steve2152', 'zvi']
