============================================================
Experiment 1 — cleaned_10  (10 authors × 40 articles, ≥1500w)
============================================================
  400 docs, 10 authors
    abramdemski: 40 docs
    jessica-liu-taylor: 40 docs
    johnswentworth: 40 docs
    kaj_sotala: 40 docs
    neel-nanda-1: 40 docs
    raemon: 40 docs
    ricraz: 40 docs
    ruby: 40 docs
    steve2152: 40 docs
    zvi: 40 docs

Sweeping N in [100, 200, 500, 1000, 1500]  (K=5, M=15, 50 trials/N, n_init=10)
  Sampling K=5 authors from 10 per trial

  feature cache hit -> src\kmeans\cache\cleaned_10\29e27bc51a523bd0.npz
  N=  100  trial  1/50  ARI=+0.128  authors=['kaj_sotala', 'abramdemski', 'zvi', 'steve2152', 'ruby']
  N=  100  trial  2/50  ARI=+0.060  authors=['kaj_sotala', 'jessica-liu-taylor', 'neel-nanda-1', 'steve2152', 'johnswentworth']
  N=  100  trial  3/50  ARI=+0.010  authors=['jessica-liu-taylor', 'abramdemski', 'raemon', 'kaj_sotala', 'ricraz']
  N=  100  trial  4/50  ARI=+0.043  authors=['ruby', 'jessica-liu-taylor', 'raemon', 'ricraz', 'neel-nanda-1']
  N=  100  trial  5/50  ARI=+0.156  authors=['raemon', 'steve2152', 'ruby', 'kaj_sotala', 'johnswentworth']
  N=  100  trial  6/50  ARI=+0.083  authors=['jessica-liu-taylor', 'ruby', 'neel-nanda-1', 'johnswentworth', 'steve2152']
  N=  100  trial  7/50  ARI=+0.085  authors=['ricraz', 'raemon', 'kaj_sotala', 'johnswentworth', 'zvi']
  N=  100  trial  8/50  ARI=+0.128  authors=['johnswentworth', 'kaj_sotala', 'steve2152', 'ruby', 'ricraz']
  N=  100  trial  9/50  ARI=+0.042  authors=['johnswentworth', 'ruby', 'steve2152', 'abramdemski', 'neel-nanda-1']
  N=  100  trial 10/50  ARI=+0.073  authors=['ruby', 'johnswentworth', 'zvi', 'steve2152', 'raemon']
  N=  100  trial 11/50  ARI=+0.021  authors=['ricraz', 'jessica-liu-taylor', 'zvi', 'abramdemski', 'johnswentworth']
  N=  100  trial 12/50  ARI=+0.071  authors=['ricraz', 'zvi', 'steve2152', 'neel-nanda-1', 'johnswentworth']
  N=  100  trial 13/50  ARI=+0.046  authors=['abramdemski', 'kaj_sotala', 'johnswentworth', 'ruby', 'zvi']
  N=  100  trial 14/50  ARI=+0.041  authors=['jessica-liu-taylor', 'steve2152', 'zvi', 'raemon', 'ruby']
  N=  100  trial 15/50  ARI=+0.017  authors=['jessica-liu-taylor', 'ricraz', 'neel-nanda-1', 'zvi', 'steve2152']
  N=  100  trial 16/50  ARI=+0.012  authors=['ricraz', 'neel-nanda-1', 'jessica-liu-taylor', 'raemon', 'ruby']
  N=  100  trial 17/50  ARI=+0.048  authors=['kaj_sotala', 'zvi', 'jessica-liu-taylor', 'raemon', 'abramdemski']
  N=  100  trial 18/50  ARI=+0.035  authors=['ruby', 'zvi', 'kaj_sotala', 'abramdemski', 'steve2152']
  N=  100  trial 19/50  ARI=+0.034  authors=['raemon', 'kaj_sotala', 'ricraz', 'johnswentworth', 'ruby']
  N=  100  trial 20/50  ARI=+0.025  authors=['neel-nanda-1', 'raemon', 'ruby', 'abramdemski', 'jessica-liu-taylor']
  N=  100  trial 21/50  ARI=+0.078  authors=['neel-nanda-1', 'jessica-liu-taylor', 'steve2152', 'ricraz', 'ruby']
